symbol,sector,close,high,low,p,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,opening_high,opening_low,breaking_level,breaking_type,timestamp,breakout_timestamp,status
GODREJCP,Fast Moving Consumer Goods,1242.5,1242.5,1231.9,1256.6666666666667,1281.9333333333334,1295.3666666666666,1320.6333333333332,1345.8999999999996,1371.1666666666665,1243.2333333333336,1217.966666666667,1204.5333333333338,1191.1000000000004,1177.6666666666674,1274.1,1260.8,S1,Short,2025-04-24T11:45:00+05:30,2025-04-24T11:15:00+05:30,Confirmed
UNITDSPR,Fast Moving Consumer Goods,1586.8,1588.1,1585.5,1569.7666666666667,1596.0333333333333,1611.6666666666667,1637.9333333333334,1664.2000000000003,1690.4666666666662,1554.1333333333332,1527.8666666666666,1512.2333333333331,1496.5999999999995,1480.9666666666662,1586.0,1569.9,R1,Long,2025-04-24T11:45:00+05:30,2025-04-24T09:50:00+05:30,Confirmed
LT,Construction,3282.5,3285.8,3282.5,3294.2333333333336,3321.7666666666673,3342.5333333333338,3370.0666666666675,3397.600000000002,3425.133333333335,3273.466666666667,3245.9333333333334,3225.166666666667,3204.4000000000005,3183.633333333335,3307.0,3280.0,-,-,2025-04-24T11:45:00+05:30,-,-
ALKEM,Healthcare,5197.2,5200.0,5197.0,5167.833333333333,5315.666666666666,5398.333333333333,5546.166666666666,5694.0,5841.833333333332,5085.166666666666,4937.333333333333,4854.666666666666,4772.0,4689.333333333332,5299.0,5218.3,-,-,2025-04-24T11:45:00+05:30,-,-
YESBANK,Financial Services,18.49,18.5,18.47,18.46666666666667,18.773333333333337,19.12666666666667,19.433333333333337,19.740000000000002,20.046666666666674,18.113333333333337,17.80666666666667,17.453333333333337,17.10000000000001,16.74666666666667,18.59,18.33,-,-,2025-04-24T11:45:00+05:30,-,-
AMBUJACEM,Construction Materials,572.65,573.3,571.2,575.5166666666665,581.7333333333331,589.1166666666666,595.3333333333331,601.5499999999997,607.7666666666664,568.1333333333331,561.9166666666665,554.5333333333331,547.1499999999999,539.7666666666662,577.4,572.05,-,-,2025-04-24T11:45:00+05:30,-,-
ADANIPORTS,Services,1239.6,1240.5,1239.4,1232.8999999999999,1248.9999999999998,1258.8999999999999,1274.9999999999998,1291.1000000000004,1307.1999999999998,1222.9999999999998,1206.8999999999999,1196.9999999999998,1187.1000000000004,1177.1999999999998,1243.4,1235.0,-,-,2025-04-24T11:45:00+05:30,-,-
NMDC,Metals & Mining,68.45,68.5,68.36,67.7,69.05000000000001,69.99000000000001,71.34000000000002,72.69000000000005,74.04000000000002,66.76,65.41,64.47,63.53,62.59,68.36,67.63,-,-,2025-04-24T11:45:00+05:30,-,-
RECLTD,Financial Services,440.6,441.1,440.5,439.4166666666667,449.3833333333334,457.9666666666667,467.9333333333334,477.9000000000001,487.8666666666668,430.83333333333337,420.8666666666667,412.28333333333336,403.70000000000005,395.1166666666668,444.7,438.5,-,-,2025-04-24T11:45:00+05:30,-,-
ITC,Fast Moving Consumer Goods,434.65,434.8,434.1,432.3833333333334,435.91666666666674,440.98333333333335,444.5166666666667,448.04999999999995,451.5833333333335,427.3166666666668,423.7833333333334,418.7166666666668,413.6500000000002,408.5833333333337,431.85,430.55,-,-,2025-04-24T11:45:00+05:30,-,-
BAJAJ-AUTO,Automobile and Auto Components,8251.5,8255.0,8243.0,8202.333333333334,8353.666666666668,8445.833333333334,8597.166666666668,8748.5,8899.833333333336,8110.166666666668,7958.833333333334,7866.666666666668,7774.5,7682.333333333336,8265.5,8205.5,-,-,2025-04-24T11:45:00+05:30,-,-
MARUTI,Automobile and Auto Components,11906.0,11911.0,11901.0,11869.0,12009.0,12111.0,12251.0,12391.0,12531.0,11767.0,11627.0,11525.0,11423.0,11321.0,11980.0,11880.0,R1,Long,2025-04-24T11:45:00+05:30,2025-04-24T10:35:00+05:30,Confirmed
MAHABANK,Financial Services,50.7,50.73,50.65,50.406666666666666,51.403333333333336,51.98666666666667,52.98333333333334,53.98000000000002,54.97666666666669,49.82333333333333,48.82666666666666,48.243333333333325,47.66,47.076666666666654,51.15,50.53,-,-,2025-04-24T11:45:00+05:30,-,-
ULTRACEMCO,Construction Materials,12041.0,12048.0,12027.0,11938.333333333334,12050.666666666668,12152.333333333334,12264.666666666668,12377.0,12489.333333333336,11836.666666666668,11724.333333333334,11622.666666666668,11521.0,11419.333333333336,11947.0,11870.0,-,-,2025-04-24T11:45:00+05:30,-,-
JSWSTEEL,Metals & Mining,1034.0,1034.8,1033.3,1040.5333333333335,1052.566666666667,1065.9333333333336,1077.9666666666672,1090.0000000000005,1102.0333333333342,1027.166666666667,1015.1333333333334,1001.7666666666669,988.4000000000001,975.0333333333338,1038.1,1031.8,-,-,2025-04-24T11:45:00+05:30,-,-
OIL,Oil Gas & Consumable Fuels,401.9,402.3,401.0,406.2833333333333,413.3666666666666,419.8833333333333,426.96666666666664,434.04999999999995,441.1333333333332,399.7666666666666,392.6833333333333,386.1666666666666,379.64999999999986,373.1333333333332,406.6,402.1,-,-,2025-04-24T11:45:00+05:30,-,-
JIOFIN,Financial Services,259.08,259.38,259.05,256.02666666666664,260.6633333333333,263.18666666666667,267.8233333333333,272.46,277.0966666666666,253.50333333333327,248.86666666666662,246.34333333333325,243.81999999999982,241.2966666666665,259.8,256.5,-,-,2025-04-24T11:45:00+05:30,-,-
FEDERALBNK,Financial Services,202.92,203.15,202.79,200.22666666666666,202.53333333333333,205.29666666666668,207.60333333333335,209.90999999999997,212.2166666666667,197.4633333333333,195.15666666666664,192.3933333333333,189.62999999999988,186.86666666666656,200.54,199.29,R1,Long,2025-04-24T11:45:00+05:30,2025-04-24T10:50:00+05:30,Confirmed
IGL,Oil Gas & Consumable Fuels,186.83,187.52,186.82,186.00666666666666,189.2133333333333,192.91666666666666,196.1233333333333,199.32999999999993,202.53666666666663,182.3033333333333,179.09666666666666,175.39333333333332,171.69,167.98666666666668,186.17,185.01,-,-,2025-04-24T11:45:00+05:30,-,-
PETRONET,Oil Gas & Consumable Fuels,308.7,309.0,307.65,313.6166666666666,318.53333333333325,321.6166666666666,326.53333333333325,331.45000000000005,336.36666666666656,310.53333333333325,305.6166666666666,302.53333333333325,299.45000000000005,296.36666666666656,317.5,313.8,S1,Short,2025-04-24T11:45:00+05:30,2025-04-24T10:30:00+05:30,Confirmed
