symbol,sector,p,r1,s1,breaking_level,breaking_type,breakout_timestamp,status
GODREJCP,Fast Moving Consumer Goods,1260.7333333333333,1275.7666666666667,1250.8666666666668,S1,Short,2025-04-29T09:50:00+05:30,Confirmed
UNITDSPR,Fast Moving Consumer Goods,1547.9666666666665,1568.933333333333,1535.633333333333,-,-,-,-
LT,Construction,3310.966666666667,3367.133333333334,3271.133333333334,-,-,-,-
ALKEM,Healthcare,5036.266666666666,5077.533333333333,4984.533333333333,-,-,-,-
YESBANK,Financial Services,17.986666666666668,18.263333333333335,17.813333333333336,-,-,-,-
AMBUJACEM,Construction Materials,546.2666666666667,551.5333333333333,539.6833333333333,-,-,-,-
ADANIPORTS,Services,1202.9,1221.7000000000003,1191.1000000000001,-,-,-,-
NMDC,Metals & Mining,65.56666666666666,66.49333333333333,64.78333333333333,R1,Long,2025-04-29T09:35:00+05:30,Confirmed
RECLTD,Financial Services,429.71666666666664,437.5333333333333,425.2333333333333,-,-,-,-
ITC,Fast Moving Consumer Goods,428.01666666666665,431.2833333333333,425.5333333333333,-,-,-,-
BAJAJ-AUTO,Automobile and Auto Components,8067.166666666667,8163.333333333334,7999.833333333334,-,-,-,-
MARUTI,Automobile and Auto Components,11677.0,12065.0,11458.0,-,-,-,-
MAHABANK,Financial Services,50.77666666666667,51.293333333333344,50.41333333333334,-,-,-,-
ULTRACEMCO,Construction Materials,12151.333333333334,12301.666666666668,11963.666666666668,-,-,-,-
JSWSTEEL,Metals & Mining,1044.1666666666667,1069.1333333333334,1029.4333333333334,-,-,-,-
OIL,Oil Gas & Consumable Fuels,401.8,410.1,396.85,-,-,-,-
JIOFIN,Financial Services,256.6333333333333,260.96666666666664,253.56666666666666,-,-,-,-
FEDERALBNK,Financial Services,199.11333333333334,201.7166666666667,197.2266666666667,-,-,-,-
IGL,Oil Gas & Consumable Fuels,183.40666666666667,188.31333333333333,180.41333333333333,R1,Long,2025-04-29T09:35:00+05:30,Confirmed
PETRONET,Oil Gas & Consumable Fuels,310.2833333333333,314.0666666666666,306.5166666666666,-,-,-,-
NTPC,Power,359.3666666666666,365.03333333333325,355.83333333333326,-,-,-,-
NAUKRI,Consumer Services,6999.166666666667,7071.833333333334,6904.833333333334,-,-,-,-
HINDZINC,Metals & Mining,452.5,459.5,445.5,-,-,-,-
IDEA,Telecommunication,7.473333333333334,7.546666666666667,7.376666666666667,-,-,-,-
MOTILALOFS,Financial Services,675.8833333333333,691.6666666666666,661.9666666666667,-,-,-,-
POWERGRID,Power,307.68333333333334,311.81666666666666,304.4166666666667,-,-,-,-
APOLLOTYRE,Automobile and Auto Components,455.45,465.0,449.9,-,-,-,-
